year,start,flag1,team1,flag2,team2,score1,score2,round,OT,pos,pso1,pso2
1986,1986-06-18,den,Denmark,esp,Spain,1,5,Round of 16,N,N,,
1986,1986-06-21,bra,Brazil,fra,France,1,1,Quarter Final,Y,Y,3,4
1986,1986-06-21,ger,Germany FR,mex,Mexico,0,0,Quarter Final,Y,Y,4,1
1986,1986-06-22,esp,Spain,bel,Belgium,1,1,Quarter Final,Y,Y,4,5
1986,1986-06-22,arg,Argentina,eng,England,2,1,Quarter Final,N,N,,
1986,1986-06-25,arg,Argentina,bel,Belgium,2,0,Semi-Final,N,N,,
1986,1986-06-25,fra,France,ger,Germany FR,0,2,Semi-Final,N,N,,
1986,1986-06-28,fra,France,bel,Belgium,4,2,Third Place,Y,N,,
1986,1986-06-29,arg,Argentina,ger,Germany FR,3,2,Final,N,N,,
1990,1990-06-09,ita,Italy,aut,Austria,1,0,Round 1 - Group 1,N,N,,
1990,1990-06-10,usa,United States,tch,Czechoslovakia,1,5,Round 1 - Group 1,N,N,,
1990,1990-06-14,ita,Italy,usa,United States,1,0,Round 1 - Group 1,N,N,,
1990,1990-06-15,aut,Austria,tch,Czechoslovakia,0,1,Round 1 - Group 1,N,N,,
1990,1990-06-19,ita,Italy,tch,Czechoslovakia,2,0,Round 1 - Group 1,N,N,,
1990,1990-06-19,aut,Austria,usa,United States,2,1,Round 1 - Group 1,N,N,,
1990,1990-06-08,arg,Argentina,cmr,Cameroon,0,1,Round 1 - Group 2,N,N,,
1990,1990-06-09,urs,Soviet Union,rou,Romania,0,2,Round 1 - Group 2,N,N,,
1990,1990-06-13,arg,Argentina,urs,Soviet Union,2,0,Round 1 - Group 2,N,N,,
1990,1990-06-14,cmr,Cameroon,rou,Romania,2,1,Round 1 - Group 2,N,N,,
1990,1990-06-18,arg,Argentina,rou,Romania,1,1,Round 1 - Group 2,N,N,,
1990,1990-06-18,cmr,Cameroon,urs,Soviet Union,0,4,Round 1 - Group 2,N,N,,
1990,1990-06-10,bra,Brazil,swe,Sweden,2,1,Round 1 - Group 3,N,N,,
1990,1990-06-11,crc,Costa Rica,sco,Scotland,1,0,Round 1 - Group 3,N,N,,
1990,1990-06-16,bra,Brazil,crc,Costa Rica,1,0,Round 1 - Group 3,N,N,,
1990,1990-06-16,swe,Sweden,sco,Scotland,1,2,Round 1 - Group 3,N,N,,
1990,1990-06-20,bra,Brazil,sco,Scotland,1,0,Round 1 - Group 3,N,N,,
1990,1990-06-20,swe,Sweden,crc,Costa Rica,1,2,Round 1 - Group 3,N,N,,
1990,1990-06-09,uae,United Arab Emirates,col,Colombia,0,2,Round 1 - Group 4,N,N,,
1990,1990-06-10,ger,Germany FR,yug,Yugoslavia,4,1,Round 1 - Group 4,N,N,,
1990,1990-06-14,yug,Yugoslavia,col,Colombia,1,0,Round 1 - Group 4,N,N,,
1990,1990-06-15,ger,Germany FR,uae,United Arab Emirates,5,1,Round 1 - Group 4,N,N,,
1990,1990-06-19,ger,Germany FR,col,Colombia,1,1,Round 1 - Group 4,N,N,,
1990,1990-06-19,yug,Yugoslavia,uae,United Arab Emirates,4,1,Round 1 - Group 4,N,N,,
1990,1990-06-12,bel,Belgium,kor,South Korea,2,0,Round 1 - Group 5,N,N,,
1990,1990-06-13,uru,Uruguay,esp,Spain,0,0,Round 1 - Group 5,N,N,,
1990,1990-06-17,bel,Belgium,uru,Uruguay,3,1,Round 1 - Group 5,N,N,,
1990,1990-06-17,kor,South Korea,esp,Spain,1,3,Round 1 - Group 5,N,N,,
1990,1990-06-21,bel,Belgium,esp,Spain,1,2,Round 1 - Group 5,N,N,,
1990,1990-06-21,kor,South Korea,uru,Uruguay,0,1,Round 1 - Group 5,N,N,,
1990,1990-06-11,eng,England,irl,Republic of Ireland,1,1,Round 1 - Group 6,N,N,,
1990,1990-06-12,ned,Netherlands,egy,Egypt,1,1,Round 1 - Group 6,N,N,,
1990,1990-06-16,eng,England,ned,Netherlands,0,0,Round 1 - Group 6,N,N,,
1990,1990-06-17,irl,Republic of Ireland,egy,Egypt,0,0,Round 1 - Group 6,N,N,,
1990,1990-06-21,eng,England,egy,Egypt,1,0,Round 1 - Group 6,N,N,,
1990,1990-06-21,irl,Republic of Ireland,ned,Netherlands,1,1,Round 1 - Group 6,N,N,,
1990,1990-06-23,cmr,Cameroon,col,Colombia,2,1,Round of 16,Y,N,,
1990,1990-06-23,tch,Czechoslovakia,crc,Costa Rica,4,1,Round of 16,N,N,,
1990,1990-06-24,bra,Brazil,arg,Argentina,0,1,Round of 16,N,N,,
1990,1990-06-24,ger,Germany FR,ned,Netherlands,2,1,Round of 16,N,N,,
