year,start,flag1,team1,flag2,team2,score1,score2,round,OT,pos,pso1,pso2
2002,2002-06-21,eng,England,bra,Brazil,1,2,Quarter Final,N,N,,
2002,2002-06-21,ger,Germany,usa,United States,1,0,Quarter Final,N,N,,
2002,2002-06-22,esp,Spain,kor,South Korea,0,0,Quarter Final,Y,Y,3,5
2002,2002-06-22,sen,Senegal,tur,Turkey,0,1,Quarter Final,Y,N,,
2002,2002-06-25,ger,Germany,kor,South Korea,1,0,Semi-Final,N,N,,
2002,2002-06-26,bra,Brazil,tur,Turkey,1,0,Semi-Final,N,N,,
2002,2002-06-29,kor,South Korea,tur,Turkey,2,3,Third Place,N,N,,
2002,2002-06-30,ger,Germany,bra,Brazil,0,2,Final,N,N,,
2006,2006-06-09,ger,Germany,crc,Costa Rica,4,2,Round 1 - Group A,N,N,,
2006,2006-06-09,pol,Poland,ecu,Ecuador,0,2,Round 1 - Group A,N,N,,
2006,2006-06-14,ger,Germany,pol,Poland,1,0,Round 1 - Group A,N,N,,
2006,2006-06-15,ecu,Ecuador,crc,Costa Rica,3,0,Round 1 - Group A,N,N,,
2006,2006-06-20,ecu,Ecuador,ger,Germany,0,3,Round 1 - Group A,N,N,,
2006,2006-06-20,crc,Costa Rica,pol,Poland,1,2,Round 1 - Group A,N,N,,
2006,2006-06-10,eng,England,par,Paraguay,1,0,Round 1 - Group B,N,N,,
2006,2006-06-10,tri,Trinidad and Tobago,swe,Sweden,0,0,Round 1 - Group B,N,N,,
2006,2006-06-15,eng,England,tri,Trinidad and Tobago,2,0,Round 1 - Group B,N,N,,
2006,2006-06-15,swe,Sweden,par,Paraguay,1,0,Round 1 - Group B,N,N,,
2006,2006-06-20,swe,Sweden,eng,England,2,2,Round 1 - Group B,N,N,,
2006,2006-06-20,par,Paraguay,tri,Trinidad and Tobago,2,0,Round 1 - Group B,N,N,,
2006,2006-06-10,arg,Argentina,civ,Ivory Coast,2,1,Round 1 - Group C,N,N,,
2006,2006-06-11,scg,Serbia and Montenegro,ned,Netherlands,0,1,Round 1 - Group C,N,N,,
2006,2006-06-16,arg,Argentina,scg,Serbia and Montenegro,6,0,Round 1 - Group C,N,N,,
2006,2006-06-16,ned,Netherlands,civ,Ivory Coast,2,1,Round 1 - Group C,N,N,,
2006,2006-06-21,ned,Netherlands,arg,Argentina,0,0,Round 1 - Group C,N,N,,
2006,2006-06-21,civ,Ivory Coast,scg,Serbia and Montenegro,3,2,Round 1 - Group C,N,N,,
2006,2006-06-11,mex,Mexico,irn,Iran,3,1,Round 1 - Group D,N,N,,
2006,2006-06-11,ang,Angola,por,Portugal,0,1,Round 1 - Group D,N,N,,
2006,2006-06-16,mex,Mexico,ang,Angola,0,0,Round 1 - Group D,N,N,,
2006,2006-06-17,por,Portugal,irn,Iran,2,0,Round 1 - Group D,N,N,,
2006,2006-06-21,por,Portugal,mex,Mexico,2,1,Round 1 - Group D,N,N,,
2006,2006-06-21,irn,Iran,ang,Angola,1,1,Round 1 - Group D,N,N,,
2006,2006-06-12,ita,Italy,gha,Ghana,2,0,Round 1 - Group E,N,N,,
2006,2006-06-12,usa,United States,cze,Czech Republic,0,3,Round 1 - Group E,N,N,,
2006,2006-06-17,ita,Italy,usa,United States,1,1,Round 1 - Group E,N,N,,
2006,2006-06-17,cze,Czech Republic,gha,Ghana,0,2,Round 1 - Group E,N,N,,
2006,2006-06-22,cze,Czech Republic,ita,Italy,0,2,Round 1 - Group E,N,N,,
2006,2006-06-22,gha,Ghana,usa,United States,2,1,Round 1 - Group E,N,N,,
2006,2006-06-13,bra,Brazil,cro,Croatia,1,0,Round 1 - Group F,N,N,,
2006,2006-06-12,aus,Australia,jpn,Japan,3,1,Round 1 - Group F,N,N,,
2006,2006-06-18,bra,Brazil,aus,Australia,2,0,Round 1 - Group F,N,N,,
2006,2006-06-18,jpn,Japan,cro,Croatia,0,0,Round 1 - Group F,N,N,,
2006,2006-06-22,jpn,Japan,bra,Brazil,1,4,Round 1 - Group F,N,N,,
2006,2006-06-22,cro,Croatia,aus,Australia,2,2,Round 1 - Group F,N,N,,
2006,2006-06-13,fra,France,sui,Switzerland,0,0,Round 1 - Group G,N,N,,
2006,2006-06-13,kor,South Korea,tog,Togo,2,1,Round 1 - Group G,N,N,,
2006,2006-06-18,fra,France,kor,South Korea,1,1,Round 1 - Group G,N,N,,
2006,2006-06-19,tog,Togo,sui,Switzerland,0,2,Round 1 - Group G,N,N,,
2006,2006-06-23,tog,Togo,fra,France,0,2,Round 1 - Group G,N,N,,
2006,2006-06-23,sui,Switzerland,kor,South Korea,2,0,Round 1 - Group G,N,N,,
2006,2006-06-14,esp,Spain,ukr,Ukraine,4,0,Round 1 - Group H,N,N,,
2006,2006-06-14,tun,Tunisia,ksa,Saudi Arabia,2,2,Round 1 - Group H,N,N,,
2006,2006-06-19,esp,Spain,tun,Tunisia,3,1,Round 1 - Group H,N,N,,
2006,2006-06-19,ksa,Saudi Arabia,ukr,Ukraine,0,4,Round 1 - Group H,N,N,,
2006,2006-06-23,ksa,Saudi Arabia,esp,Spain,0,1,Round 1 - Group H,N,N,,
2006,2006-06-23,ukr,Ukraine,tun,Tunisia,1,0,Round 1 - Group H,N,N,,
2006,2006-06-24,ger,Germany,swe,Sweden,2,0,Round of 16,N,N,,
2006,2006-06-24,arg,Argentina,mex,Mexico,2,1,Round of 16,Y,N,,
2006,2006-06-25,eng,England,ecu,Ecuador,1,0,Round of 16,N,N,,
2006,2006-06-25,por,Portugal,ned,Netherlands,1,0,Round of 16,N,N,,
2006,2006-06-26,ita,Italy,aus,Australia,1,0,Round of 16,N,N,,
2006,2006-06-26,sui,Switzerland,ukr,Ukraine,0,0,Round of 16,Y,Y,0,3
2006,2006-06-27,bra,Brazil,gha,Ghana,3,0,Round of 16,N,N,,
2006,2006-06-27,esp,Spain,fra,France,1,3,Round of 16,N,N,,
2006,2006-06-30,ger,Germany,arg,Argentina,1,1,Quarter Final,Y,Y,4,2
2006,2006-06-30,ita,Italy,ukr,Ukraine,3,0,Quarter Final,N,N,,
2006,2006-07-01,eng,England,por,Portugal,0,0,Quarter Final,Y,Y,1,3
2006,2006-07-01,bra,Brazil,fra,France,0,1,Quarter Final,N,N,,
2006,2006-07-04,ger,Germany,ita,Italy,0,2,Semi-Final,Y,N,,
2006,2006-07-05,por,Portugal,fra,France,0,1,Semi-Final,N,N,,
2006,2006-07-08,ger,Germany,por,Portugal,3,1,Third Place,N,N,,
2006,2006-07-09,ita,Italy,fra,France,1,1,Final,Y,Y,5,3
2010,2010-06-11,rsa,South Africa,mex,Mexico,1,1,Round 1 - Group A,N,N,,
2010,2010-06-11,uru,Uruguay,fra,France,0,0,Round 1 - Group A,N,N,,
2010,2010-06-16,rsa,South Africa,uru,Uruguay,0,3,Round 1 - Group A,N,N,,
2010,2010-06-17,fra,France,mex,Mexico,0,2,Round 1 - Group A,N,N,,
2010,2010-06-22,mex,Mexico,uru,Uruguay,0,1,Round 1 - Group A,N,N,,
2010,2010-06-22,fra,France,rsa,South Africa,1,2,Round 1 - Group A,N,N,,
2010,2010-06-12,arg,Argentina,nga,Nigeria,1,0,Round 1 - Group B,N,N,,
2010,2010-06-12,kor,South Korea,gre,Greece,2,0,Round 1 - Group B,N,N,,
2010,2010-06-17,gre,Greece,nga,Nigeria,2,1,Round 1 - Group B,N,N,,
2010,2010-06-17,arg,Argentina,kor,South Korea,4,1,Round 1 - Group B,N,N,,
2010,2010-06-22,nga,Nigeria,kor,South Korea,2,2,Round 1 - Group B,N,N,,
2010,2010-06-22,gre,Greece,arg,Argentina,0,2,Round 1 - Group B,N,N,,
2010,2010-06-12,eng,England,usa,United States,1,1,Round 1 - Group C,N,N,,
2010,2010-06-13,alg,Algeria,svn,Slovenia,0,1,Round 1 - Group C,N,N,,
2010,2010-06-18,svn,Slovenia,usa,United States,2,2,Round 1 - Group C,N,N,,
2010,2010-06-18,eng,England,alg,Algeria,0,0,Round 1 - Group C,N,N,,
2010,2010-06-23,svn,Slovenia,eng,England,0,1,Round 1 - Group C,N,N,,
2010,2010-06-23,usa,United States,alg,Algeria,1,0,Round 1 - Group C,N,N,,
2010,2010-06-13,ger,Germany,aus,Australia,4,0,Round 1 - Group D,N,N,,
2010,2010-06-13,srb,Serbia,gha,Ghana,0,1,Round 1 - Group D,N,N,,
2010,2010-06-18,ger,Germany,srb,Serbia,0,1,Round 1 - Group D,N,N,,
2010,2010-06-19,gha,Ghana,aus,Australia,1,1,Round 1 - Group D,N,N,,
2010,2010-06-23,gha,Ghana,ger,Germany,0,1,Round 1 - Group D,N,N,,
2010,2010-06-23,aus,Australia,srb,Serbia,2,1,Round 1 - Group D,N,N,,
2010,2010-06-14,ned,Netherlands,den,Denmark,2,0,Round 1 - Group E,N,N,,
2010,2010-06-14,jpn,Japan,cmr,Cameroon,1,0,Round 1 - Group E,N,N,,
2010,2010-06-19,ned,Netherlands,jpn,Japan,1,0,Round 1 - Group E,N,N,,
2010,2010-06-19,cmr,Cameroon,den,Denmark,1,2,Round 1 - Group E,N,N,,
2010,2010-06-24,den,Denmark,jpn,Japan,1,3,Round 1 - Group E,N,N,,
2010,2010-06-24,cmr,Cameroon,ned,Netherlands,1,2,Round 1 - Group E,N,N,,
2010,2010-06-14,ita,Italy,par,Paraguay,1,1,Round 1 - Group F,N,N,,
2010,2010-06-15,nzl,New Zealand,svk,Slovakia,1,1,Round 1 - Group F,N,N,,
2010,2010-06-20,svk,Slovakia,par,Paraguay,0,2,Round 1 - Group F,N,N,,
2010,2010-06-20,ita,Italy,nzl,New Zealand,1,1,Round 1 - Group F,N,N,,
2010,2010-06-24,svk,Slovakia,ita,Italy,3,2,Round 1 - Group F,N,N,,
2010,2010-06-24,par,Paraguay,nzl,New Zealand,0,0,Round 1 - Group F,N,N,,
2010,2010-06-15,civ,Ivory Coast,por,Portugal,0,0,Round 1 - Group G,N,N,,
2010,2010-06-15,bra,Brazil,prk,North Korea,2,1,Round 1 - Group G,N,N,,
2010,2010-06-20,bra,Brazil,civ,Ivory Coast,3,1,Round 1 - Group G,N,N,,
2010,2010-06-21,por,Portugal,prk,North Korea,7,0,Round 1 - Group G,N,N,,
2010,2010-06-25,por,Portugal,bra,Brazil,0,0,Round 1 - Group G,N,N,,
2010,2010-06-25,prk,North Korea,civ,Ivory Coast,0,3,Round 1 - Group G,N,N,,
2010,2010-06-16,hon,Honduras,chi,Chile,0,1,Round 1 - Group H,N,N,,
2010,2010-06-16,esp,Spain,sui,Switzerland,0,1,Round 1 - Group H,N,N,,
2010,2010-06-21,chi,Chile,sui,Switzerland,1,0,Round 1 - Group H,N,N,,
2010,2010-06-21,esp,Spain,hon,Honduras,2,0,Round 1 - Group H,N,N,,
2010,2010-06-25,chi,Chile,esp,Spain,1,2,Round 1 - Group H,N,N,,
2010,2010-06-25,sui,Switzerland,hon,Honduras,0,0,Round 1 - Group H,N,N,,
2010,2010-06-26,uru,Uruguay,kor,South Korea,2,1,Round of 16,N,N,,
2010,2010-06-26,usa,United States,gha,Ghana,1,2,Round of 16,Y,N,,
2010,2010-06-27,ger,Germany,eng,England,4,1,Round of 16,N,N,,
2010,2010-06-27,arg,Argentina,mex,Mexico,3,1,Round of 16,N,N,,
2010,2010-06-28,ned,Netherlands,svk,Slovakia,2,1,Round of 16,N,N,,
2010,2010-06-28,bra,Brazil,chi,Chile,3,0,Round of 16,N,N,,
2010,2010-06-29,par,Paraguay,jpn,Japan,0,0,Round of 16,Y,Y,5,3
2010,2010-06-29,esp,Spain,por,Portugal,1,0,Round of 16,N,N,,
2010,2010-07-02,ned,Netherlands,bra,Brazil,2,1,Quarter Final,N,N,,
2010,2010-07-02,uru,Uruguay,gha,Ghana,1,1,Quarter Final,Y,Y,4,2
2010,2010-07-03,arg,Argentina,ger,Germany,0,4,Quarter Final,N,N,,
2010,2010-07-03,par,Paraguay,esp,Spain,0,1,Quarter Final,N,N,,
2010,2010-07-06,uru,Uruguay,ned,Netherlands,2,3,Semi-Final,N,N,,
2010,2010-07-07,ger,Germany,esp,Spain,0,1,Semi-Final,N,N,,
2010,2010-07-10,uru,Uruguay,ger,Germany,2,3,Third Place,N,N,,
2010,2010-07-11,ned,Netherlands,esp,Spain,0,1,Final,Y,N,,
2014,2014-06-12,bra,Brazil,cro,Croatia,3,1,Round 1 - Group A,N,N,,
2014,2014-06-13,mex,Mexico,cmr,Cameroon,1,0,Round 1 - Group A,N,N,,
2014,2014-06-17,bra,Brazil,mex,Mexico,0,0,Round 1 - Group A,N,N,,
2014,2014-06-18,cmr,Cameroon,cro,Croatia,0,4,Round 1 - Group A,N,N,,
2014,2014-06-23,cmr,Cameroon,bra,Brazil,1,4,Round 1 - Group A,N,N,,
2014,2014-06-23,cro,Croatia,mex,Mexico,1,3,Round 1 - Group A,N,N,,
2014,2014-06-13,esp,Spain,ned,Netherlands,1,5,Round 1 - Group B,N,N,,
2014,2014-06-13,chi,Chile,aus,Australia,3,1,Round 1 - Group B,N,N,,
2014,2014-06-18,aus,Australia,ned,Netherlands,2,3,Round 1 - Group B,N,N,,
2014,2014-06-18,esp,Spain,chi,Chile,0,2,Round 1 - Group B,N,N,,
2014,2014-06-23,aus,Australia,esp,Spain,0,3,Round 1 - Group B,N,N,,
2014,2014-06-23,ned,Netherlands,chi,Chile,2,0,Round 1 - Group B,N,N,,
2014,2014-06-14,col,Colombia,gre,Greece,3,0,Round 1 - Group C,N,N,,
2014,2014-06-14,civ,Ivory Coast,jpn,Japan,2,1,Round 1 - Group C,N,N,,
2014,2014-06-19,col,Colombia,civ,Ivory Coast,2,1,Round 1 - Group C,N,N,,
2014,2014-06-19,jpn,Japan,gre,Greece,0,0,Round 1 - Group C,N,N,,
2014,2014-06-24,jpn,Japan,col,Colombia,1,4,Round 1 - Group C,N,N,,
2014,2014-06-24,gre,Greece,civ,Ivory Coast,2,1,Round 1 - Group C,N,N,,
2014,2014-06-14,uru,Uruguay,crc,Costa Rica,1,3,Round 1 - Group D,N,N,,
2014,2014-06-14,eng,England,ita,Italy,1,2,Round 1 - Group D,N,N,,
2014,2014-06-19,uru,Uruguay,eng,England,2,1,Round 1 - Group D,N,N,,
2014,2014-06-20,ita,Italy,crc,Costa Rica,0,1,Round 1 - Group D,N,N,,
2014,2014-06-24,ita,Italy,uru,Uruguay,0,1,Round 1 - Group D,N,N,,
2014,2014-06-24,crc,Costa Rica,eng,England,0,0,Round 1 - Group D,N,N,,
2014,2014-06-15,sui,Switzerland,ecu,Ecuador,2,1,Round 1 - Group E,N,N,,
2014,2014-06-15,fra,France,hon,Honduras,3,0,Round 1 - Group E,N,N,,
2014,2014-06-20,sui,Switzerland,fra,France,2,5,Round 1 - Group E,N,N,,
2014,2014-06-20,hon,Honduras,ecu,Ecuador,1,2,Round 1 - Group E,N,N,,
2014,2014-06-25,hon,Honduras,sui,Switzerland,0,3,Round 1 - Group E,N,N,,
2014,2014-06-25,ecu,Ecuador,fra,France,0,0,Round 1 - Group E,N,N,,
2014,2014-06-15,arg,Argentina,bih,Bosnia and Herzegovina,2,1,Round 1 - Group F,N,N,,
2014,2014-06-16,irn,Iran,nga,Nigeria,0,0,Round 1 - Group F,N,N,,
2014,2014-06-21,arg,Argentina,irn,Iran,1,0,Round 1 - Group F,N,N,,
2014,2014-06-21,nga,Nigeria,bih,Bosnia and Herzegovina,1,0,Round 1 - Group F,N,N,,
2014,2014-06-25,nga,Nigeria,arg,Argentina,2,3,Round 1 - Group F,N,N,,
2014,2014-06-25,bih,Bosnia and Herzegovina,irn,Iran,3,1,Round 1 - Group F,N,N,,
2014,2014-06-16,ger,Germany,por,Portugal,4,0,Round 1 - Group G,N,N,,
2014,2014-06-16,gha,Ghana,usa,United States,1,2,Round 1 - Group G,N,N,,
2014,2014-06-21,ger,Germany,gha,Ghana,2,2,Round 1 - Group G,N,N,,
2014,2014-06-22,usa,United States,por,Portugal,2,2,Round 1 - Group G,N,N,,
2014,2014-06-26,usa,United States,ger,Germany,0,1,Round 1 - Group G,N,N,,
2014,2014-06-26,por,Portugal,gha,Ghana,2,1,Round 1 - Group G,N,N,,
2014,2014-06-17,bel,Belgium,alg,Algeria,2,1,Round 1 - Group H,N,N,,
2014,2014-06-17,rus,Russia,kor,South Korea,1,1,Round 1 - Group H,N,N,,
2014,2014-06-22,bel,Belgium,rus,Russia,1,0,Round 1 - Group H,N,N,,
2014,2014-06-22,kor,South Korea,alg,Algeria,2,4,Round 1 - Group H,N,N,,
2014,2014-06-26,kor,South Korea,bel,Belgium,0,1,Round 1 - Group H,N,N,,
2014,2014-06-26,alg,Algeria,rus,Russia,1,1,Round 1 - Group H,N,N,,
2014,2014-06-28,bra,Brazil,chi,Chile,1,1,Round of 16,Y,Y,3,2
2014,2014-06-28,col,Colombia,uru,Uruguay,2,0,Round of 16,N,N,,
2014,2014-06-29,ned,Netherlands,mex,Mexico,2,1,Round of 16,N,N,,
2014,2014-06-29,crc,Costa Rica,gre,Greece,1,1,Round of 16,Y,Y,5,3
2014,2014-06-30,fra,France,nga,Nigeria,2,0,Round of 16,N,N,,
2014,2014-06-30,ger,Germany,alg,Algeria,2,1,Round of 16,Y,N,,
2014,2014-07-01,arg,Argentina,sui,Switzerland,1,0,Round of 16,Y,N,,
2014,2014-07-01,bel,Belgium,usa,United States,2,1,Round of 16,Y,N,,
2014,2014-07-04,fra,France,ger,Germany,0,1,Quarter Final,N,N,,
2014,2014-07-04,bra,Brazil,col,Colombia,2,1,Quarter Final,N,N,,
2014,2014-07-05,arg,Argentina,bel,Belgium,1,0,Quarter Final,N,N,,
2014,2014-07-05,ned,Netherlands,crc,Costa Rica,0,0,Quarter Final,Y,Y,4,3
2014,2014-07-08,bra,Brazil,ger,Germany,1,7,Semi-Final,N,N,,
2014,2014-07-09,ned,Netherlands,arg,Argentina,0,0,Semi-Final,Y,Y,2,4
2014,2014-07-12,bra,Brazil,ned,Netherlands,0,3,Third Place,N,N,,
2014,2014-07-13,ger,Germany,arg,Argentina,1,0,Final,Y,N,,
