countryName,numOfScorers,countryCode
Argentina,2,ARG
Brazil,5,BRA
Bulgaria,1,BUL
Chile,1,CHI
Colombia,1,COL
Croatia,1,CRO
England,1,ENG
France,1,FRA
Germany FR,1,FRG
Germany,2,GER
Hungary,2,HUN
Italy,2,ITA
Poland,1,POL
Portugal,1,POR
Russia,1,RUS
Czechoslovakia,1,TCH
Soviet Union,1,URS
Yugoslavia,1,YUG
