countryName,numAwards,countryCode
Argentina,5,ARG
Austria,1,AUT
Brazil,13,BRA
Bulgaria,1,BUL
Chile,1,CHI
Croatia,1,CRO
Denmark,1,DEN
England,2,ENG
Spain,1,ESP
France,3,FRA
Germany FR,6,FRG
Germany,2,GER
Hungary,3,HUN
Italy,8,ITA
South Korea,1,KOR
Netherlands,3,NED
Poland,1,POL
Portugal,1,POR
Czechoslovakia,2,TCH
Uruguay,4,URU
